DRUG_GROUP,Trade_Name,Active_Ingredient,MARKETING_DATE,BBW_DATE,POPULAR_YEAR,SUMMARY,SOURCE,BBW_TEXT
BBW,aranesp,,20060607,20070309,"[2005, 2006, 2011, 2012, 2013]",,http://www.medpagetoday.com/ProductAlert/Prescriptions/5231,"Increased risk of death, myocardial infarction (MI), stroke, venous thromboembolism (VTE), thrombosis of vascular access, and tumor progression or recurrence. Use the lowest dose sufficient to reduce/avoid the need for RBC transfusions. Chronic Kidney Disease (CKD): Greater risks for death, serious adverse cardiovascular (CV) reactions, and stroke when administered to target Hgb level of >11g/dL. Cancer: Shortened overall survival and/or increased risk of tumor progression or recurrence in patients with breast, non-small cell lung, head and neck, lymphoid, and cervical cancers. Must enroll in and comply with the ESA APPRISE Oncology Program to prescribe and/or dispense drug to patients. Use only for anemia from myelosuppressive chemotherapy. Not indicated for patients receiving myelosuppressive chemotherapy when anticipated outcome is cure. D/C following completion of chemotherapy course."
BBW,arava,,19980910,20100713,"[2003, 2004, 2005]",New boxed warning for severe liver injury with arthritis drug Arava (leflunomide),http://www.fda.gov/drugs/drugsafety/postmarketdrugsafetyinformationforpatientsandproviders/ucm218679.htm,"Pregnancy must be excluded before start of treatment. Avoid pregnancy during treatment or before completion of drug elimination procedure after treatment. Severe liver injury, including fatal liver failure, reported; not for use with preexisting acute or chronic liver disease, or those with serum ALT >2X ULN before initiating treatment. Caution with other potentially hepatotoxic drugs. Monitor ALT levels at least monthly for 6 months after starting therapy, and thereafter every 6-8 weeks. Interrupt therapy if ALT elevation >3X ULN; if likely leflunomide-induced, start cholestyramine washout and monitor liver tests weekly until normalized. If leflunomide-induced liver injury is unlikely, may consider resuming therapy."
BBW,arixtra,,20041117,20050501,[2010],,http://www.defectivedrug.com/blackbox/arixtra/,"Epidural or spinal hematomas may occur in patients who are anticoagulated with low molecular weight heparins (LMWHs), heparinoids, or fondaparinux sodium and who are receiving neuraxial anesthesia or undergoing spinal puncture; may result in long-term or permanent paralysis. Increased risk of developing epidural or spinal hematomas in patients using indwelling epidural catheters, concomitant use of other drugs that affect hemostasis (eg, NSAIDs, platelet inhibitors, other anticoagulants), history of traumatic or repeated epidural or spinal puncture, or a history of spinal deformity or spinal surgery. Monitor frequently for signs/symptoms of neurologic impairment; if neurologic compromise noted, urgent treatment is necessary. Consider benefit and risks before neuraxial intervention in patients anticoagulated or to be anticoagulated for thromboprophylaxis."
BBW,arthrotec,,19971224,20050701,"[2003, 2005, 2006]",,http://www.defectivedrug.com/blackbox/arthrotec/,"Misoprostol can cause abortion, premature birth or birth defects. Uterine rupture reported when used to induce labor or abortion beyond 8th week of pregnancy. Has an abortifacient property and must not be given to others. Should not be taken by pregnant women. Use only in women of childbearing potential if at high risk for gastric or duodenal ulcers or complications with NSAID therapy; must have had a negative serum pregnancy test within 2 weeks before therapy, must be capable of complying with effective contraceptive measures, and must have received both oral and written warnings of the hazards of misoprostol, risk of contraceptive failure, the danger to other women of childbearing potential should the drug be taken by mistake, and to begin therapy on 2nd or 3rd day of menstrual period. NSAIDs may increase risk of serious cardiovascular (CV) thrombotic events, myocardial infarction (MI), stroke, and serious GI adverse events including bleeding, ulceration, and perforation of the stomach or intestines. Increased risk of serious GI events in elderly. Contraindicated for the treatment of perioperative pain in the setting of coronary artery bypass graft (CABG) surgery."
BBW,atacand,Candesartan Cilexetil,19980914,20120401,"[2003, 2004, 2005, 2006, 2007, 2008, 2009]","pregnancy is detected, discontinue ATACAND as soon as possible",http://www.fda.gov/Safety/MedWatch/SafetyInformation/ucm303851.htm,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,atripla,,20060720,20080201,"[2007, 2008, 2009, 2010, 2011, 2012, 2013]",,http://www.fda.gov/Safety/MedWatch/SafetyInformation/Safety-RelatedDrugLabelingChanges/ucm113219.htm,"Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, reported with the use of nucleoside analogues. Not approved for the treatment of chronic hepatitis B virus (HBV) infection. Severe acute exacerbations of hepatitis B reported in patients coinfected with HBV upon discontinuation of therapy; closely monitor hepatic function for at least several months. If appropriate, initiation of anti-hepatitis B therapy may be warranted."
BBW,avalide,,19970930,20121031,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://geartsedesdeschmin.jigsy.com/entries/general/irbesartan-vs-irbesartan-plus-hydrochlorothiazide-avalide-black-box-warning-what-is-irbesartan-hydrochlorothiazide-tablets,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury and death to the developing fetus.
BBW,avandamet,,20031204,20071114,"[2004, 2005, 2006, 2007, 2008, 2009]",,http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/2007/ucm109026.htm,"Thiazolidinediones, including rosiglitazone, cause or exacerbate congestive heart failure (CHF) in some patients. After initiation and dose increases, observe for signs and symptoms of heart failure (HF); manage accordingly and consider discontinuation or dose reduction if signs/symptoms develop. Not recommended in patients with symptomatic HF. Contraindicated with established NYHA Class III or IV HF. Lactic acidosis may occur due to metformin accumulation; risk increases with conditions such as sepsis, dehydration, excess alcohol intake, hepatic/renal impairment, and acute CHF. If acidosis is suspected, d/c therapy and hospitalize patient immediately."
BBW,avandia,,19990528,20071114,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://en.wikipedia.org/wiki/Boxed_warning; http://www.drugwatch.com/actos/black-box-warning.php,"Thiazolidinediones, including rosiglitazone, cause or exacerbate congestive heart failure (CHF) in some patients. After initiation and dose increases, observe for signs and symptoms of heart failure (HF); manage accordingly and consider discontinuation or dose reduction if signs/symptoms develop. Not recommended in patients with symptomatic HF. Contraindicated with established NYHA Class III or IV HF."
BBW,avapro,,19970930,20120420,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://www.bad-drug.net/bad-drug/avapro,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,avastin,,20040226,20051103,"[2011, 2012, 2013]",,http://www.healthboards.com/boards/pain-management/339701-avinza-warning.html,"GI perforation reported; d/c with GI perforation. Increased incidence of wound-healing and surgical complications; d/c at least 28 days prior to elective surgery. Do not initiate for at least 28 days after surgery and until surgical wound is fully healed. D/C with wound dehiscence. Severe or fatal hemorrhage, including hemoptysis, GI bleeding, CNS hemorrhage, epistaxis, and vaginal bleeding have occurred; avoid with serious hemorrhage or recent hemoptysis."
BBW,avelox,,19991210,20080608,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]","the FDA ordered a boxed warning on certain antibiotic medications containing fluoroquinolone, which has been linked to tendon ruptures and tendinitis. ",http://en.wikipedia.org/wiki/Boxed_warning,"Fluoroquinolones are associated with an increased risk of tendinitis and tendon rupture in all ages. Risk is further increased in patients >60 yrs of age, patients taking corticosteroids, and with kidney, heart, or lung transplants. May exacerbate muscle weakness with myasthenia gravis; avoid in patients with known history of myasthenia gravis."
BBW,aviane,,19950824,,"[2003, 2004]",,,Cigarette smoking increases the risk of serious cardiovascular (CV) side effects. This risk increases with age (>35 yrs) and with heavy smoking (Š_Ç15 cigarettes/day). Women who use oral contraceptives should be strongly advised not to smoke.
BBW,avinza,,20020320,20051001,"[2005, 2006, 2007, 2008, 2009]",,http://www.fda.gov/downloads/Safety/MedWatch/SafetyInformation/SafetyAlertsforHumanMedicalProducts/UCM164410.pdf,"Contains pellets of morphine sulfate, an opioid agonist and Schedule II controlled substance with an abuse liability similar to other opioid agonists, legal or illicit; assess each patient's risk for opioid abuse or addiction prior to prescribing. Routinely monitor for signs of misuse, abuse, and addiction. Respiratory depression, including fatal cases, may occur even when used as recommended; proper dosing and titration are essential. Monitor for respiratory depression, especially during initiation or following a dose increase. Should only be prescribed by healthcare professionals who are knowledgeable in the use of potent opioids for the management of chronic pain. Swallow cap whole or sprinkle contents on applesauce; crushing, chewing, or dissolving the pellets within the cap can cause rapid release and absorption of a potentially fatal dose. Accidental ingestion, especially in children, can result in fatal overdose. Avoid alcohol and alcohol-containing medications while on therapy; may result in an increase of plasma levels and potentially fatal overdose of morphine."
BBW,azor,,20070926,20130703,[2010],,http://www.fda.gov/Drugs/DrugSafety/ucm359477.htm,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause death/injury to the developing fetus.
BBW,benicar,,20020425,20120301,"[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",,http://www.fda.gov/Safety/MedWatch/SafetyInformation/ucm258781.htm,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,benicar hct,,20030605,20060106,"[2005, 2006, 2007, 2008, 2009, 2010]",,http://www.fda.gov/downloads/Drugs/GuidanceComplianceRegulatoryInformation/EnforcementActivitiesbyFDA/WarningLettersandNoticeofViolationLetterstoPharmaceuticalCompanies/ucm054388.pdf,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,budeprion sr,,20040128,,"[2004, 2005, 2006, 2007, 2008]",,,"Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term trials. Monitor closely for worsening, and for emergence of suicidal thoughts and behavior. Advise families and caregivers of the need for close observation and communication with the prescriber. Serious neuropsychiatric reactions reported in patients taking bupropion for smoking cessation; not approved for smoking cessation. (Budeprion SR) Not approved for use in pediatric patients."
BBW,celebrex,,19981002,20050401,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]", increased chances of cardiovascular problems and gastrointestinal bleeding. ,"http://en.wikinews.org/wiki/FDA_mandates_%22black_box%22_for_Celebrex,_pulls_Bextra_off_market","May increase risk of serious cardiovascular (CV) thrombotic events, myocardial infarction (MI), and stroke, which can be fatal; increased risk with duration of use and with CV disease (CVD) or risk factors for CVD. Increased risk of serious GI adverse events (eg, bleeding, ulceration, perforation of stomach/intestines) that can be fatal and occur anytime during use without warning symptoms; elderly patients are at a greater risk. Contraindicated for treatment of perioperative pain in the setting of coronary artery bypass graft (CABG) surgery."
BBW,celexa,,19980717,20110824,"[2003, 2004]",,http://www.fda.gov/Drugs/DrugSafety/ucm269086.htm,"Antidepressants increased the risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior in patients who are started on antidepressant therapy. Not approved for use in pediatric patients."
BBW,cellcept,,19950503,20071029,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://www.medpagetoday.com/ProductAlert/Prescriptions/7152,"Use during pregnancy is associated with increased risks of 1st trimester pregnancy loss and congenital malformations; counsel females of reproductive potential regarding pregnancy prevention and planning. Immunosuppression may lead to increased susceptibility to infection and possible development of lymphoma. Only physicians experienced in immunosuppressive therapy and management of renal, cardiac or hepatic transplant patients should prescribe mycophenolate mofetil. Manage patients in facilities equipped and staffed with adequate lab and supportive medical resources. Physician responsible for maintenance therapy should have complete information requisite for follow-up of the patient."
BBW,chantix,,20060510,20090701,"[2007, 2008, 2009, 2010]",,http://en.wikipedia.org/wiki/Varenicline,"Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use."
BBW,combivir,,19970930,20130517,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://sundchecklighby.jigsy.com/entries/general/fda-approved-combivir-lamivudine-zidovudine-pills-%7C-lamivudine-in-late-pregnancy-to-prevent-perinatal-combivir-pediatric-dose-combivir-hives,"Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, reported with nucleoside analogues; suspend treatment if lactic acidosis or pronounced hepatotoxicity occurs. Lamivudine: Severe acute exacerbations of hepatitis B reported in patients coinfected with hepatitis B virus (HBV) upon discontinuation of therapy; closely monitor hepatic function for at least several months. If appropriate, initiation of anti-hepatitis B therapy may be warranted. Zidovudine: Associated with hematologic toxicity (eg, neutropenia, anemia), particularly with advanced HIV-1 disease. Symptomatic myopathy associated with prolonged use."
BBW,concerta,,20000801,20080601,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]",,http://www.fda.gov/safety/medwatch/safetyinformation/safety-relateddruglabelingchanges/ucm120136.htm,"Caution with history of drug dependence or alcoholism. Chronic abusive use may lead to marked tolerance and psychological dependence with varying degrees of abnormal behavior. Frank psychotic episodes may occur, especially with parenteral abuse. Careful supervision is required during withdrawal from abusive use since severe depression may occur. Withdrawal following chronic use may unmask symptoms of underlying disorder that may require follow-up."
BBW,coumadin,,19950731,,"[2003, 2004, 2005, 2006, 2007]",,,"May cause major or fatal bleeding; monitor INR regularly. Drugs, dietary changes, and other factors affect INR levels achieved with therapy. Instruct patients about prevention measures to minimize risk of bleeding and to report signs/symptoms of bleeding."
BBW,cozaar,Losartan,19950414,20140101,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://en.wikipedia.org/wiki/Losartan,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,cymbalta,,20040824,20121001,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",,http://www.fda.gov/safety/medwatch/safetyinformation/ucm319241.htm,"Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor and observe closely for worsening, and for emergence of suicidal thoughts and behavior. Not approved for use in pediatric patients."
BBW,depakote,,19830310,20130601,"[2003, 2004, 2005, 2006, 2007, 2008]",,http://www.fda.gov/Safety/MedWatch/SafetyInformation/ucm360487.htm,"Fatal hepatic failure reported, usually during first 6 months of treatment. Serious/fatal hepatotoxicity may be preceded by nonspecific symptoms (eg, malaise, weakness, lethargy, facial edema, anorexia, vomiting) or loss of seizure control in patients with epilepsy; monitor closely. Monitor LFTs prior to therapy and at frequent intervals thereafter, especially during first 6 months of treatment. Increased risk of developing fatal hepatotoxicity in children <2 yrs of age, especially if on multiple anticonvulsants, with congenital metabolic disorders, with severe seizure disorders with mental retardation, and with organic brain disease; use with extreme caution and as a sole agent. Increased risk of drug-induced acute liver failure and resultant death in patients with hereditary neurometabolic syndromes caused by DNA mutations of the mitochondrial DNA polymerase gamma (POLG) gene (eg, Alpers-Huttenlocher syndrome). Contraindicated in patients known to have mitochondrial disorders caused by POLG mutations and children <2 yrs of age who are clinically suspected of having a mitochondrial disorder. In patients >2 yrs of age who are clinically suspected of having a hereditary mitochondrial disease, drug should only be used after other anticonvulsants have failed; closely monitor for the development of acute liver injury with regular clinical assessments and serum liver testing. May cause major congenital malformations, particularly neural tube defects (eg, spina bifida). May cause decreased IQ scores following in utero exposure. Should only be used to treat pregnant women with epilepsy or bipolar disorder if other medications have failed to control their symptoms or are otherwise unacceptable. Do not administer to a woman of childbearing potential unless the drug is essential to the management of her medical condition; use effective contraception. Life-threatening pancreatitis reported; d/c if pancreatitis is diagnosed and initiate appropriate treatment."
BBW,depakote er,,20000804,20060612,"[2003, 2004, 2005, 2006, 2007, 2008, 2009]",,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2006/18081s44,18082s27,18723s33,19680s22,20593s15,21168s14lbl.pdf","Fatal hepatic failure may occur, usually during first 6 months of treatment. Serious/fatal hepatotoxicity may be preceded by nonspecific symptoms such as malaise, weakness, lethargy, facial edema, anorexia, and vomiting, or loss of seizure control in patients with epilepsy. Monitor LFTs prior to therapy and at frequent intervals thereafter, especially during first 6 months of treatment. Increased risk of developing fatal hepatotoxicity in children <2 yrs of age, especially if on multiple anticonvulsants, with congenital metabolic disorders, severe seizure disorders with mental retardation, and organic brain disease; use with extreme caution and as a sole agent. Increased risk of drug-induced acute liver failure and resultant deaths in patients with hereditary neurometabolic syndromes caused by DNA mutations of the mitochondrial DNA Polymerase gamma (POLG) gene (eg, Alpers Huttenlocher Syndrome). Contraindicated in patients known to have mitochondrial disorders caused by POLG mutations and children <2 yrs of age who are clinically suspected of having a mitochondrial disorder. In patients >2 yrs of age who are clinically suspected of having a hereditary mitochondrial disease, drug should only be used after other anticonvulsants have failed; closely monitor for the development of acute liver injury with regular clinical assessments and serum liver testing. May cause major congenital malformations, particularly neural tube defects (eg, spina bifida). May cause decreased IQ scores following in utero exposure. Contraindicated in pregnant women treated for prophylaxis of migraine; should only be used to treat pregnant women with epilepsy or bipolar disorder if other medications have failed to control their symptoms or are otherwise unacceptable. Do not administer to a woman of childbearing potential unless the drug is essential to the management of her medical condition; use effective contraception. Life-threatening pancreatitis reported; d/c if pancreatitis is diagnosed and initiate appropriate treatment."
BBW,diovan,,20010701,20050801,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",about the risk of extremely low blood pressure hypotension for patients with heart failure,http://webanalytics-lab.com/img/2015/01/19/black-box-warning-on-losartan/; http://www.ehow.com/facts_5511084_diovan-side-effects-reactions.html,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,diovan hct,,19980306,,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]",,,D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.
BBW,duragesic,,19900807,20080201,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,http://www.fda.gov/Safety/MedWatch/SafetyInformation/Safety-RelatedDrugLabelingChanges/ucm113224.htm,"Exposes patients and other users to the risk of opioid addiction/abuse/misuse, which may lead to overdose and death; assess risk prior to therapy and monitor all patients regularly for development of these behaviors or conditions. Serious, life-threatening, or fatal respiratory depression may occur; monitor especially during initiation or following a dose increase. Contraindicated for use as a PRN analgesic, in nonopioid tolerant patients, in acute pain, and in postoperative pain. Deaths due to fatal overdose have occurred from accidental exposure; strict adherence to handling/disposal instructions is of utmost importance to prevent accidental exposure. Prolonged use during pregnancy may result in neonatal opioid withdrawal syndrome. Concomitant use with all CYP3A4 inhibitors and discontinuation of a concomitantly administered CYP3A4 inducer may increase plasma concentrations and potentially cause fatal respiratory depression; monitor patients during concomitant therapy. Exposure of application site and surrounding area to direct external heat sources may increase absorption and result in fatal overdose and death; patients who develop fever or increased core body temperature due to strenuous exertion are at increased risk and may require dose adjustment."
BBW,effexor xr,,19971101,,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]",,,"Antidepressants increased the risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior. Not approved for use in pediatric patients."
BBW,elidel,,20011202,20050501,"[2003, 2004, 2005, 2006]", a possible cancer risk,http://www.webmd.com/skin-problems-and-treatments/eczema/news/20060119/two-eczema-drugs-get-black-box-warning,"Rare cases of malignancy (eg, skin and lymphoma) reported with topical calcineurin inhibitors, including pimecrolimus, although causal relationship is not established. Avoid long-term use, and application should be limited to areas of involvement with atopic dermatitis. Not indicated for children <2 yrs or age."
BBW,eloxatin,,20060602,20090301,"[2011, 2012]",,http://www.fda.gov/safety/medwatch/safetyinformation/safety-relateddruglabelingchanges/ucm133529.htm,"Anaphylactic reactions reported and may occur within min of administration. Epinephrine, corticosteroids, and antihistamines have been employed to alleviate symptoms of anaphylaxis."
BBW,enbrel,,20030102,20080701,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]",,http://www.fda.gov/safety/medwatch/safetyinformation/safety-relateddruglabelingchanges/ucm121962.htm,"Increased risk for developing serious infections (eg, active tuberculosis [TB], latent TB reactivation, invasive fungal infections, bacterial/viral infections, opportunistic infections) leading to hospitalization or death, mostly with concomitant use with immunosuppressants (eg, methotrexate [MTX], corticosteroids). D/C if serious infection or sepsis develops. Active/latent reactivation of TB may present with disseminated or extrapulmonary disease; test for latent TB before and during therapy and initiate treatment for latent TB prior to therapy. Consider empiric antifungal therapy in patients at risk for invasive fungal infections who develop severe systemic illness. Monitor for development of infection during and after treatment, including development of TB in patients who tested negative for latent TB infection prior to therapy. Lymphoma and other malignancies, some fatal, reported in children and adolescents."
BBW,endocet,,20000526,,"[2003, 2004, 2005, 2006, 2007, 2008]",,,"Associated with cases of acute liver failure, at times resulting in liver transplant and death. Most cases of liver injury are associated with acetaminophen (APAP) use at doses >4000mg/day, and often involve >1 APAP-containing product."
