DRUG_GROUP	Trade_Name	Active_Ingredient	MARKETING_DATE	BBW_DATE	POPULAR_YEAR	SUMMARY	SOURCE	BBW_TEXT	label
ROBUST	lucentis	NA	2006-06-30	NA	[2011, 2012, 2013]	NA	NA	NA	0
ROBUST	lumigan	NA	2001-03-22	NA	[2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	lunesta	NA	2005-04-04	NA	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	lyrica	NA	2004-12-30	NA	[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	macrobid	NA	2011-05-31	NA	[2003]	NA	NA	NA	0
ROBUST	marinol	NA	2010-07-13	NA	[2007]	NA	NA	NA	0
ROBUST	maxalt	NA	1998-06-29	NA	[2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	mirapex	NA	2003-09-04	NA	[2004, 2005, 2006, 2007, 2008, 2009]	NA	NA	NA	0
ROBUST	namenda	NA	2003-10-16	NA	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	nasacort aq	NA	1996-05-20	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	nasonex	NA	1997-10-01	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	neulasta	NA	2002-04-01	NA	[2011, 2012, 2013]	NA	NA	NA	0
ROBUST	neupogen	NA	1994-06-08	NA	[2003, 2004, 2005, 2006, 2007, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	neurontin	NA	1993-12-30	NA	[2003, 2004, 2005]	NA	NA	NA	0
ROBUST	nexium	NA	2001-03-19	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	niaspan	NA	1997-07-28	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	norvasc	NA	1992-07-31	NA	[2003, 2004, 2005, 2006, 2007]	NA	NA	NA	0
ROBUST	novolog	NA	2001-08-27	NA	[2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	novolog mix 70/30	NA	2002-09-11	NA	[2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	nuvigil	NA	2009-05-26	NA	[2010]	NA	NA	NA	0
ROBUST	oracea	NA	2006-09-29	NA	[2010]	NA	NA	NA	0
ROBUST	orencia	NA	2009-01-01	NA	[2012, 2013]	NA	NA	NA	0
ROBUST	pataday	NA	2007-02-15	NA	[2010]	NA	NA	NA	0
ROBUST	patanol	NA	1997-02-17	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	penlac	NA	1999-12-17	NA	[2003]	NA	NA	NA	0
ROBUST	pentasa	NA	1993-05-10	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	prandin	NA	2000-01-03	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	pravachol	NA	2009-06-01	NA	[2003, 2004, 2005, 2006]	NA	NA	NA	0
ROBUST	prevacid	NA	1995-05-10	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	prevpac	NA	1997-12-02	NA	[2003]	NA	NA	NA	0
ROBUST	prezista	NA	2008-03-08	NA	[2009, 2010, 2012, 2013]	NA	NA	NA	0
ROBUST	prilosec	NA	1990-10-01	NA	[2003, 2004, 2005, 2006, 2007]	NA	NA	NA	0
ROBUST	propecia	NA	1997-12-19	NA	[2008, 2009, 2010]	NA	NA	NA	0
ROBUST	proscar	NA	1992-06-19	NA	[2003, 2004, 2005, 2006]	NA	NA	NA	0
ROBUST	protonix	NA	2000-05-01	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	proventil hfa	NA	2001-10-01	NA	[2008, 2009, 2010]	NA	NA	NA	0
ROBUST	provigil	NA	1998-12-24	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011]	NA	NA	NA	0
ROBUST	pulmicort respules	NA	2000-09-08	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	pulmozyme	NA	1993-12-30	NA	[2005, 2006, 2007]	NA	NA	NA	0
ROBUST	qvar	NA	2000-09-15	NA	[2010]	NA	NA	NA	0
ROBUST	ranexa	NA	2006-01-27	NA	[2010]	NA	NA	NA	0
ROBUST	rebif	NA	2002-03-07	NA	[2004, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	relpax	NA	2002-12-26	NA	[2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	renagel	NA	2008-06-06	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	renvela	NA	2009-08-12	NA	[2010, 2012, 2013]	NA	NA	NA	0
ROBUST	requip	NA	1997-10-01	NA	[2006, 2007, 2008]	NA	NA	NA	0
ROBUST	restasis	NA	2003-04-01	NA	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	reyataz	NA	2003-06-24	NA	[2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	rhinocort aqua	NA	2001-04-02	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	sensipar	NA	2004-04-04	NA	[2006, 2007, 2008, 2009, 2010, 2013]	NA	NA	NA	0
ROBUST	singulair	NA	1998-02-20	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]	NA	NA	NA	0
ROBUST	skelaxin	NA	1962-08-13	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	solodyn	NA	2009-07-23	NA	[2007, 2008, 2009, 2010, 2011]	NA	NA	NA	0
ROBUST	spiriva	NA	2004-07-14	NA	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	stelara	NA	2009-09-25	NA	[2013]	NA	NA	NA	0
ROBUST	suboxone	NA	2007-01-16	NA	[2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	sustiva	NA	1998-09-17	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	synagis	NA	1998-06-19	NA	[2011, 2012, 2013]	NA	NA	NA	0
ROBUST	taclonex	NA	2008-06-01	NA	[2008, 2009]	NA	NA	NA	0
ROBUST	tamiflu	NA	1999-10-27	NA	[2005, 2008, 2009, 2013]	NA	NA	NA	0
ROBUST	tarceva	NA	2005-04-30	NA	[2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	tecfidera	NA	2013-03-27	NA	[2013]	NA	NA	NA	0
ROBUST	temodar	NA	1999-08-11	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	tiazac	NA	2010-12-25	NA	[2003]	NA	NA	NA	0
ROBUST	tobradex	NA	1988-08-18	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	topamax	NA	1997-01-01	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	travatan z	NA	2006-10-20	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	tricor	NA	2004-11-05	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]	NA	NA	NA	0
ROBUST	trileptal	NA	2000-01-30	NA	[2003, 2004, 2005, 2006, 2007, 2008]	NA	NA	NA	0
ROBUST	trilipix	NA	2008-12-15	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	ultram er	NA	2005-09-08	NA	[2007, 2008, 2009]	NA	NA	NA	0
ROBUST	uroxatral	NA	2004-06-22	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	valtrex	NA	1995-08-01	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	velcade	NA	2003-05-13	NA	[2011]	NA	NA	NA	0
ROBUST	veramyst	NA	2007-05-15	NA	[2008, 2009, 2010]	NA	NA	NA	0
ROBUST	vesicare	NA	2005-01-05	NA	[2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	viagra	NA	1998-03-27	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	vigamox	NA	2003-05-07	NA	[2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	viracept	NA	1997-03-14	NA	[2003]	NA	NA	NA	0
ROBUST	vytorin	NA	2004-07-23	NA	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	welchol	NA	2000-09-01	NA	[2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	xalatan	NA	1995-03-20	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	xgeva	NA	2010-11-18	NA	[2013]	NA	NA	NA	0
ROBUST	xopenex	NA	1999-04-01	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010]	NA	NA	NA	0
ROBUST	xopenex hfa	NA	2005-12-01	NA	[2008, 2009]	NA	NA	NA	0
ROBUST	xyzal	NA	2007-08-09	NA	[2009, 2010]	NA	NA	NA	0
ROBUST	zegerid	NA	2004-06-15	NA	[2009]	NA	NA	NA	0
ROBUST	zetia	NA	2002-10-25	NA	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	NA	NA	0
ROBUST	zithromax	NA	1994-09-28	NA	[2003, 2004, 2005]	NA	NA	NA	0
ROBUST	zocor	NA	1991-12-23	NA	[2003, 2004, 2005, 2006]	NA	NA	NA	0
ROBUST	zofran	NA	1991-02-04	NA	[2003, 2004, 2005, 2006]	NA	NA	NA	0
ROBUST	zometa	NA	2001-08-20	NA	[2011]	NA	NA	NA	0
ROBUST	zomig	NA	1998-01-10	NA	[2003, 2004, 2005, 2006, 2008]	NA	NA	NA	0
ROBUST	zonegran	NA	2000-03-27	NA	[2004, 2005]	NA	NA	NA	0
ROBUST	zytiga	NA	2011-04-28	NA	[2013]	NA	NA	NA	0
ROBUST	zyvox	NA	2000-04-18	NA	[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]	NA	NA	NA	0
BBW	abilify	aripiprazole	2002-11-15	2005-04-11	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	Increased Mortality in Patients with Dementia-Related Psychosis	http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm151088.htm	Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be either cardiovascular (CV) (eg, heart failure [HF], sudden death) or infectious (eg, pneumonia) in nature. Not approved for treatment of patients with dementia-related psychosis. Antidepressants increased risk of suicidal thinking and behavior (suicidality) in children, adolescents, and young adults in short-term studies of major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior in patients who are started on antidepressant therapy. Not approved for use in pediatric patients with depression.	1
BBW	accupril	NA	1991-11-19	2012-03-01	[2003, 2004]	NA	http://newyork.legalexaminer.com/fda-prescription-drugs/physicians-alert-the-public-to-potentially-lifethreatening-ace-inhibitor-side-effects/	D/C if pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.	1
BBW	actiq	NA	1998-11-04	2007-02-01	[2003, 2004, 2005, 2006, 2007, 2008]	NA	http://www.defectivedrug.com/blackbox/actiq/	Fatal respiratory depression may occur. Contraindicated in the management of acute or postoperative pain (eg, headache/migraine) and in opioid-nontolerant patients. Death reported upon accidental ingestion in children; keep out of reach of children. Concomitant use with CYP3A4 inhibitors may increase plasma levels, and may cause fatal respiratory depression. Do not convert patients on a mcg-per-mcg basis from any other fentanyl products to Actiq. Do not substitute for any other fentanyl products; may result in fatal overdose. Contains fentanyl with abuse liability similar to other opioid analgesics. Available only through a restricted program called Transmucosal Immediate Release Fentanyl (TIRF) Risk Evaluation Mitigation Strategy (REMS) Access program due to risk of misuse, abuse, addiction, and overdose. Outpatients, healthcare professionals who prescribe to outpatients, pharmacies, and distributors must enroll in the program.	1
BBW	actoplus met	NA	2005-08-29	2007-08-01	[2007, 2008, 2009, 2010]	NA	http://www.fda.gov/Drugs/DrugSafety/PostmarketDrugSafetyInformationforPatientsandProviders/ucm124178.htm	Thiazolidinediones, including pioglitazone, cause or exacerbate congestive heart failure (CHF) in some patients. After initiation and dose increases, monitor carefully for signs and symptoms of heart failure (HF); manage accordingly and consider discontinuation or dose reduction if HF develops. Not recommended with symptomatic HF. Contraindicated with established NYHA Class III or IV HF. Lactic acidosis may occur due to metformin accumulation; risk increases with conditions such as sepsis, dehydration, excess alcohol intake, hepatic/renal impairment, and acute CHF. If acidosis is suspected, d/c therapy and hospitalize patient immediately.	1
BBW	actos	NA	1999-07-15	2007-01-01	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012]	congestive heart failure	http://www.drugwatch.com/actos/black-box-warning.php	Thiazolidinediones cause or exacerbate congestive heart failure (CHF) in some patients. After initiation and dose increases, monitor carefully for signs and symptoms of heart failure (HF) and manage accordingly; consider discontinuation or dose reduction. Not recommended in patients with symptomatic HF. Contraindicated with established NYHA Class III or IV HF.	1
BBW	adderall xr	NA	2001-10-11	2006-08-22	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	sudden death in patients with heart problems.	http://www.webmd.com/add-adhd/news/20060822/heart-alert-adhd-drugs	High potential for abuse; prolonged use may lead to drug dependence. Misuse may cause sudden death and serious cardiovascular (CV) adverse reactions.	1
BBW	advair diskus	NA	2001-06-21	2006-06-01	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	NA	http://www.lawyersandsettlements.com/articles/asthma/asthma-fda-black-box-warnings-10693.html#.VQkZQUvWqL4	long-acting beta-2 adrenergic agonists (LABA) incr. risk of asthma-related death; data from large placebo-controlled US study showed incr. in asthma-related deaths in pts receiving salmeterol plus usual asthma tx, results considered LABA class effect; inadequate data to determine if concurrent inhaled corticosteroids or other long-term asthma control tx mitigates incr. risk of asthma-related death from LABA; LABA use may incr. risk of asthma-related hospitalization in pediatric and adolescent pts; use only for asthma pts not controlled on long-term asthma control tx, such as inhaled corticosteroid, or whose dz severity requires tx w/ both corticosteroid and LABA; once asthma control is achieved and maintained, assess pt at regular intervals and step down tx, such as D/C corticosteroid/LABA combo, if possible w/o loss of asthma control; maintain pt on long-term asthma control tx such as inhaled corticosteroid; do not use corticosteroid/LABA combo if asthma adequately controlled on low-or medium-dose inhaled corticosteroids	1
BBW	altace	ramipril	1991-01-28	2012-04-01	[2003, 2004, 2005, 2006, 2007, 2008]	FETAL TOXICITY	http://www.fda.gov/Safety/MedWatch/SafetyInformation/ucm233254.htm	D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.	1
BBW	amnesteem	isotretinoin	2002-11-11	2007-03-01	[2003, 2004, 2005]	must not be used by female patients who are or may become pregnant.	http://isotretinoinsideeffects.com, http://www.fda.gov/downloads/iceci/enforcementactions/enforcementstory/enforcementstoryarchive/ucm090289.pdf	Not for use by females who are or may become pregnant. Severe birth defects, including death, have been documented. Increased risk of spontaneous abortion and premature births reported. D/C immediately if pregnancy occurs during treatment and refer to an obstetrician-gynecologist experienced in reproductive toxicity for evaluation and counseling. Approved only under special restricted distribution program called iPLEDGEŠÜ¢. Prescribers, patients, pharmacies, and distributors must be registered and activated with the program.	1
BBW	androgel	NA	2003-05-15	2009-05-07	[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013]	The FDA today warned about the risks that testosterone gel products can pose to children inadvertently exposed to those products by adults	http://www.webmd.com/men/news/20090507/testosterone-gels-risky-to-children	Virilization reported in children secondarily exposed to testosterone gel. Children should avoid contact with unwashed or unclothed application sites in men using testosterone gel. Advise patients to strictly adhere to recommended instructions for use.	1
BBW	aranesp	NA	2006-06-07	2007-03-09	[2005, 2006, 2011, 2012, 2013]	NA	http://www.medpagetoday.com/ProductAlert/Prescriptions/5231	Increased risk of death, myocardial infarction (MI), stroke, venous thromboembolism (VTE), thrombosis of vascular access, and tumor progression or recurrence. Use the lowest dose sufficient to reduce/avoid the need for RBC transfusions. Chronic Kidney Disease (CKD): Greater risks for death, serious adverse cardiovascular (CV) reactions, and stroke when administered to target Hgb level of >11g/dL. Cancer: Shortened overall survival and/or increased risk of tumor progression or recurrence in patients with breast, non-small cell lung, head and neck, lymphoid, and cervical cancers. Must enroll in and comply with the ESA APPRISE Oncology Program to prescribe and/or dispense drug to patients. Use only for anemia from myelosuppressive chemotherapy. Not indicated for patients receiving myelosuppressive chemotherapy when anticipated outcome is cure. D/C following completion of chemotherapy course.	1
BBW	arava	NA	1998-09-10	2010-07-13	[2003, 2004, 2005]	New boxed warning for severe liver injury with arthritis drug Arava (leflunomide)	http://www.fda.gov/drugs/drugsafety/postmarketdrugsafetyinformationforpatientsandproviders/ucm218679.htm	Pregnancy must be excluded before start of treatment. Avoid pregnancy during treatment or before completion of drug elimination procedure after treatment. Severe liver injury, including fatal liver failure, reported; not for use with preexisting acute or chronic liver disease, or those with serum ALT >2X ULN before initiating treatment. Caution with other potentially hepatotoxic drugs. Monitor ALT levels at least monthly for 6 months after starting therapy, and thereafter every 6-8 weeks. Interrupt therapy if ALT elevation >3X ULN; if likely leflunomide-induced, start cholestyramine washout and monitor liver tests weekly until normalized. If leflunomide-induced liver injury is unlikely, may consider resuming therapy.	1
BBW	arixtra	NA	2004-11-17	2005-05-01	[2010]	NA	http://www.defectivedrug.com/blackbox/arixtra/	Epidural or spinal hematomas may occur in patients who are anticoagulated with low molecular weight heparins (LMWHs), heparinoids, or fondaparinux sodium and who are receiving neuraxial anesthesia or undergoing spinal puncture; may result in long-term or permanent paralysis. Increased risk of developing epidural or spinal hematomas in patients using indwelling epidural catheters, concomitant use of other drugs that affect hemostasis (eg, NSAIDs, platelet inhibitors, other anticoagulants), history of traumatic or repeated epidural or spinal puncture, or a history of spinal deformity or spinal surgery. Monitor frequently for signs/symptoms of neurologic impairment; if neurologic compromise noted, urgent treatment is necessary. Consider benefit and risks before neuraxial intervention in patients anticoagulated or to be anticoagulated for thromboprophylaxis.	1
