"","drug","count","group","newOccureScore","PDR id","BBW","BBW text","reference"
"11","chantix",26,"BBW",0.912870929175277,"druglabelid=466",1,"Serious neuropsychiatric events including, but not limited to, depression, suicidal ideation, suicide attempt, and completed suicide reported. Some reported cases may be complicated by nicotine withdrawal symptoms in patients who stopped smoking. Monitor for neuropsychiatric symptoms, including changes in behavior, hostility, agitation, depressed mood, and suicide-related events. Worsening of preexisting psychiatric illness and completed suicide reported in some patients attempting to quit smoking while on therapy. Advise patients and caregivers that the patient should stop taking therapy and contact a healthcare provider immediately if agitation, hostility, depressed mood, changes in behavior or thinking, suicidal ideation, or suicidal behavior occurs. Safety and efficacy not established in patients with serious psychiatric illness (eg, schizophrenia, bipolar disorder, major depressive disorder). Weigh risks against benefits of use.","http://www.pdr.net/drug-summary/chantix?druglabelid=466"
"12","concerta",27,"BBW",0.0301025231654474,"druglabelid=267",1,"Caution with history of drug dependence or alcoholism. Chronic abusive use may lead to marked tolerance and psychological dependence with varying degrees of abnormal behavior. Frank psychotic episodes may occur, especially with parenteral abuse. Careful supervision is required during withdrawal from abusive use since severe depression may occur. Withdrawal following chronic use may unmask symptoms of underlying disorder that may require follow-up.","http://www.pdr.net/drug-summary/concerta?druglabelid=267"
"13","crestor",30,"ROBUST",0.517373374264325,"druglabelid=2318",0,"None","http://www.pdr.net/drug-summary/crestor?druglabelid=2318"
"14","doryx",35,"ROBUST",0.642593145152197,"druglabelid=1942",0,"None","http://www.pdr.net/drug-summary/doryx?druglabelid=1942"
"15","eloxatin",37,"BBW",0.68133160487463,"druglabelid=515",1,"Anaphylactic reactions reported and may occur within min of administration. Epinephrine, corticosteroids, and antihistamines have been employed to alleviate symptoms of anaphylaxis.","http://www.pdr.net/drug-summary/eloxatin?druglabelid=515"
"16","femara",41,"ROBUST",0.669893845303235,"druglabelid=430",0,"None","http://www.pdr.net/drug-summary/femara?druglabelid=430"
"17","flonase",44,"ROBUST",0.908642305852213,"druglabelid=189",0,"None","http://www.pdr.net/drug-summary/flonase?druglabelid=189"
"18","fosamax",47,"ROBUST",0.972283025311645,"druglabelid=352",0,"None","http://www.pdr.net/drug-summary/fosamax?druglabelid=352"
"19","fosamax plus d",48,"ROBUST",0.888336318148377,"druglabelid=353",0,"None","http://www.pdr.net/drug-summary/fosamax-plus-d?druglabelid=353"
"20","intuniv",54,"ROBUST",0.694995588420911,"druglabelid=535",0,"None","http://www.pdr.net/drug-summary/intuniv?druglabelid=535"
"21","kadian",60,"BBW",0.994136933109523,"druglabelid=1680",1,"Contains morphine, an opioid agonist and a Schedule II controlled substance with an abuse liability similar to other opioid agonists, legal or illicit; assess each patient's risk for opioid abuse or addiction prior to prescribing. Routinely monitor for signs of misuse, abuse, and addiction. Respiratory depression, including fatal cases, may occur even when used as recommended; proper dosing and titration are essential. Monitor for respiratory depression, especially during initiation or following a dose increase. Should only be prescribed by healthcare professionals who are knowledgeable in the use of potent opioids for the management of chronic pain. Swallow cap whole, or sprinkle contents of cap on applesauce and swallow without chewing; crushing, dissolving, or chewing the pellets within the cap can cause rapid release and absorption of a potentially fatal dose. Accidental consumption, especially in children, can result in fatal overdose.","http://www.pdr.net/drug-summary/kadian?druglabelid=1680"
"22","lumigan",69,"ROBUST",0.975931466383606,"druglabelid=54",0,"None","http://www.pdr.net/drug-summary/lumigan?druglabelid=54"
"23","maxalt",72,"ROBUST",0.9625,"druglabelid=364",0,"None","http://www.pdr.net/drug-summary/maxalt?druglabelid=364"
"24","micardis",73,"BBW",0.857374736724305,"druglabelid=1320",1,"D/C when pregnancy is detected. Drugs that act directly on the renin-angiotensin system (RAS) can cause injury/death to the developing fetus.","http://www.pdr.net/drug-summary/micardis?druglabelid=1320"
"25","oracea",80,"ROBUST",0.676520541091892,"druglabelid=1579",0,"None","http://www.pdr.net/drug-summary/oracea?druglabelid=1579"
"26","oxycontin",82,"BBW",0.984857686995328,"druglabelid=492",1,"Exposes users to risks of addiction, abuse, and misuse, leading to overdose and death; assess each patient's risk prior to prescribing and monitor regularly for development of these behaviors/conditions. Serious, life-threatening, or fatal respiratory depression may occur; monitor during initiation or following a dose increase. Crushing, dissolving, or chewing tab can cause rapid release and absorption of potentially fatal dose; instruct patients to swallow tab whole. Accidental ingestion, especially by children, can result in a fatal overdose. Prolonged use during pregnancy can result in neonatal opioid withdrawal syndrome; advise pregnant women of the risk and ensure availability of appropriate treatment. Concomitant use of CYP3A4 inhibitors or discontinuation of CYP3A4 inducers can result in oxycodone overdose; monitor patients receiving concomitant CYP3A4 inhibitors/inducers.","http://www.pdr.net/drug-summary/oxycontin?druglabelid=492"
"27","paxil",84,"BBW",0.854488912096342,"druglabelid=215",1,"Antidepressants increased the risk of suicidal thinking and behavior (suicidality) in short-term studies in children, adolescents, and young adults with major depressive disorder (MDD) and other psychiatric disorders. Monitor and observe closely for clinical worsening, suicidality, or unusual changes in behavior in patients who are started on antidepressant therapy. Not approved for use in pediatric patients.","http://www.pdr.net/drug-summary/paxil?druglabelid=215"
"28","pravachol",87,"ROBUST",0.751085731206225,"druglabelid=910",0,"None","http://www.pdr.net/drug-summary/pravachol?druglabelid=910"
"29","proventil hfa",91,"ROBUST",0.985270593900129,"druglabelid=381",0,"None","http://www.pdr.net/drug-summary/proventil-hfa?druglabelid=381"
"30","pulmicort respules",92,"ROBUST",0.915612623959357,"druglabelid=993",0,"None","http://www.pdr.net/drug-summary/pulmicort-respules?druglabelid=993"
"31","qvar",93,"ROBUST",0.930458029462939,"druglabelid=2281",0,"None","http://www.pdr.net/drug-summary/qvar?druglabelid=2281"
"32","restasis",97,"ROBUST",0.471924498119968,"druglabelid=55",0,"None","http://www.pdr.net/drug-summary/restasis?druglabelid=55"
"33","reyataz",99,"ROBUST",0.90913729009699,"druglabelid=114",0,"None","http://www.pdr.net/drug-summary/reyataz?druglabelid=114"
"34","risperdal consta",100,"BBW",0.850834532751987,"druglabelid=276",1,"Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death; most deaths appeared to be cardiovascular (CV) (eg, heart failure, sudden death) or infectious (eg, pneumonia) in nature. Not approved for the treatment of patients with dementia-related psychosis.","http://www.pdr.net/drug-summary/risperdal-consta?druglabelid=276"
"35","seroquel",101,"BBW",0.947189249869302,"druglabelid=2185",1,"Elderly patients with dementia-related psychosis treated with antipsychotic drugs are at an increased risk of death. Not approved for the treatment of patients with dementia-related psychosis. Antidepressants increased the risk of suicidal thoughts and behavior in children, adolescents, and young adults in short-term studies. Monitor closely for worsening, and for emergence of suicidal thoughts and behaviors in patients who are started on antidepressant therapy. Not approved for use in pediatric patients <10 yrs of age.","http://www.pdr.net/drug-summary/seroquel?druglabelid=2185"
"36","singulair",102,"ROBUST",0.929951038481855,"druglabelid=390",0,"None","http://www.pdr.net/drug-summary/singulair?druglabelid=390"
"37","solodyn",103,"ROBUST",0.47816235789356,"druglabelid=324",0,"None","http://www.pdr.net/drug-summary/solodyn?druglabelid=324"
"38","sustiva",106,"ROBUST",0.604283244895762,"druglabelid=116",0,"None","http://www.pdr.net/drug-summary/sustiva?druglabelid=116"
"39","tarceva",109,"ROBUST",0.711527988512769,"druglabelid=2076",0,"None","http://www.pdr.net/drug-summary/tarceva?druglabelid=2076"
"40","thalomid",113,"BBW",0.844604430107162,"druglabelid=1705",1,"Severe birth defects or embryo-fetal death may occur if taken during pregnancy. Should never be used by pregnant women or females who could become pregnant. Approved for marketing only under a special restricted distribution program called the THALOMID REMS program. May increase risk of venous thromboembolism in patients with multiple myeloma, especially with standard chemotherapeutic agents including dexamethasone; observe for signs/symptoms of thromboembolism. Instruct patients to seek medical care if symptoms such as SOB, chest pain, or arm or leg swelling develop. Consider thromboprophylaxis based on assessment of individual's underlying risk factors.","http://www.pdr.net/drug-summary/thalomid?druglabelid=1705"
"41","tiazac",114,"ROBUST",0.487450262714761,"druglabelid=1694",0,"None","http://www.pdr.net/drug-summary/tiazac?druglabelid=1694"
"42","travatan z",115,"ROBUST",0.972712992831766,"druglabelid=47",0,"None","http://www.pdr.net/drug-summary/travatan-z?druglabelid=47"
"43","trilipix",118,"ROBUST",0.59402807414242,"druglabelid=31",0,"None","http://www.pdr.net/drug-summary/trilipix?druglabelid=31"
"44","velcade",123,"ROBUST",0.530095807326588,"druglabelid=407",0,"None","http://www.pdr.net/drug-summary/velcade?druglabelid=407"
"45","viramune",127,"BBW",0.522976360368491,"druglabelid=2040",1,"Severe, life-threatening, and in some cases fatal, hepatotoxicity (particularly in the first 18 weeks) and skin reactions (eg, Stevens-Johnson syndrome [SJS], toxic epidermal necrolysis [TEN], hypersensitivity reactions) reported. Increased risk of hepatotoxicity reported in women and patients with higher CD4","http://www.pdr.net/drug-summary/viramune?druglabelid=2040"
"46","viread",128,"BBW",0.786740809783505,"druglabelid=165",1,"Lactic acidosis and severe hepatomegaly with steatosis, including fatal cases, reported with the use of nucleoside analogues in combination with other antiretrovirals. Severe acute exacerbations of hepatitis reported in hepatitis B virus (HBV)-infected patients who have discontinued therapy; closely monitor hepatic function with both clinical and lab follow-up for at least several months. If appropriate, resumption of anti-hepatitis B therapy may be warranted.","http://www.pdr.net/drug-summary/viread?druglabelid=165"
"47","xeloda",132,"BBW",0.766032881437043,"druglabelid=2039",1,"Altered coagulation parameters and/or bleeding, including death, reported with concomitant coumarin-derivative anticoagulants (eg, warfarin, phenprocoumon). Monitor PT and INR frequently in order to adjust anticoagulant dose accordingly. Postmarketing reports showed clinically significant increases in PT and INR in patients who were stabilized on anticoagulants at start of therapy. Age >60 yrs and a diagnosis of cancer independently predispose to an increased risk of coagulopathy.","http://www.pdr.net/drug-summary/xeloda?druglabelid=2039"
"48","xopenex hfa",135,"ROBUST",0.953677576164049,"druglabelid=2111",0,"None","http://www.pdr.net/drug-summary/xopenex-hfa?druglabelid=2111"
"49","zegerid",138,"ROBUST",0.0962250448649377,"druglabelid=813",0,"None","http://www.pdr.net/drug-summary/zegerid?druglabelid=813"
"50","zocor",140,"ROBUST",0.793140604741808,"druglabelid=402",0,"None","http://www.pdr.net/drug-summary/zocor?druglabelid=402"
